Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M10	9.095
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M09	31.929
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M08	39.727
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M07	37.313
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M06	33.853
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M05	22.478
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M04	4.056
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M03	5.971
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M02	1.133
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2016M01	498
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M12	1.058
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M11	1.628
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M10	9.280
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M09	28.215
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M08	35.559
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M07	36.224
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M06	33.968
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M05	15.287
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M04	6.157
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M03	1.820
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M02	1.938
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2015M01	1.323
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M12	1.276
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M11	1.726
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M10	10.746
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M09	32.493
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M08	41.814
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M07	42.867
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M06	35.666
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M05	19.923
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M04	4.915
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M03	1.175
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M02	702
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2014M01	562
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M12	943
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M11	754
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M10	7.103
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M09	29.778
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M08	44.416
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M07	37.324
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M06	39.243
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M05	18.319
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M04	1.768
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M03	1.172
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M02	745
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2013M01	678
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M12	1.157
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M11	774
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M10	6.778
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M09	22.400
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M08	42.074
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M07	33.933
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M06	32.850
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M05	14.967
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M04	3.695
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M03	1.227
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M02	966
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2012M01	792
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M12	953
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M11	1.174
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M10	5.235
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M09	23.551
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M08	44.793
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M07	38.549
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M06	32.646
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M05	12.836
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M04	3.167
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M03	1.573
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M02	1.160
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2011M01	1.006
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M12	627
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M11	1.155
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M10	5.554
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M09	21.223
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M08	47.103
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M07	31.963
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M06	25.934
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M05	10.662
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M04	6.665
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M03	1.011
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M02	956
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2010M01	704
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M12	992
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M11	758
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M10	5.766
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M09	29.496
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M08	54.989
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M07	34.242
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M06	26.146
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M05	15.082
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M04	5.805
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M03	963
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M02	827
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2009M01	582
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M12	756
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M11	534
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M10	10.622
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M09	23.988
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M08	40.811
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M07	32.510
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M06	24.945
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M05	15.829
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M04	4.413
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M03	1.251
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M02	1.266
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2008M01	587
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M12	1.082
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M11	1.429
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M10	11.859
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M09	26.683
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M08	41.585
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M07	33.053
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M06	27.773
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M05	13.482
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M04	9.232
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M03	1.468
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M02	1.576
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2007M01	1.272
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M12	1.206
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M11	1.870
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M10	7.703
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M09	26.024
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M08	40.148
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M07	29.956
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M06	22.665
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M05	10.401
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M04	6.734
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M03	824
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M02	892
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2006M01	657
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M12	761
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M11	786
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M10	7.362
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M09	23.361
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M08	40.711
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M07	35.338
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M06	20.435
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M05	10.447
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M04	1.503
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M03	806
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M02	936
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2005M01	473
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M12	785
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M11	620
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M10	4.890
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M09	12.807
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M08	19.482
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M07	16.059
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M06	12.683
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M05	8.728
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M04	2.788
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M03	1.422
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M02	563
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2004M01	287
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M12	503
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M11	420
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M10	2.240
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M09	9.020
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M08	16.191
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M07	9.454
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M06	8.388
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M05	4.926
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M04	1.658
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M03	357
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M02	326
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2003M01	559
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M12	505
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M11	714
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M10	2.872
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M09	6.590
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M08	11.715
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M07	6.149
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M06	4.827
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M05	2.865
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M04	703
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M03	812
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M02	543
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2002M01	417
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M12	649
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M11	620
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M10	3.186
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M09	5.062
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M08	5.294
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M07	8.311
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M06	5.158
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M05	2.645
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M04	2.619
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M03	611
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M02	491
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2001M01	272
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M12	488
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M11	1.011
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M10	4.677
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M09	9.992
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M08	10.174
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M07	8.389
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M06	9.560
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M05	5.524
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M04	5.880
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M03	1.721
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M02	488
National Total	04 Balears, Illes	Guests	Total	Residents in Spain	2000M01	744
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M08	230.129
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M07	251.632
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M06	215.609
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M05	168.300
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M04	45.473
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M03	7.566
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M02	4.474
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2025M01	2.996
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M12	5.027
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M11	4.941
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M10	114.249
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M09	212.766
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M08	244.938
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M07	257.897
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M06	253.472
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M05	235.707
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M04	47.138
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M03	16.912
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M02	3.216
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2024M01	2.659
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M12	5.027
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M11	3.625
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M10	98.783
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M09	182.009
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M08	206.673
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M07	210.017
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M06	169.894
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M05	154.515
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M04	41.963
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M03	7.050
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M02	3.782
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2023M01	2.061
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M12	3.932
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M11	3.198
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M10	98.038
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M09	201.220
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M08	222.026
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M07	236.137
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M06	191.357
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M05	159.017
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M04	36.141
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M03	5.358
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M02	3.390
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2022M01	1.322
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M12	2.814
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M11	3.189
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M10	62.482
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M09	97.897
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M08	111.133
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M07	104.181
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M06	37.369
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M05	15.422
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M04	2.052
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M03	1.271
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M02	274
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2021M01	260
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M12	535
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M11	504
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M10	2.840
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M09	14.908
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M08	40.238
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M07	43.129
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M06	741
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M05	.
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M04	0
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M03	888
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M02	3.273
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2020M01	1.534
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M12	4.294
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M11	4.632
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M10	92.753
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M09	196.939
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M08	268.290
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M07	247.631
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M06	201.808
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M05	147.791
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M04	36.870
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M03	7.128
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M02	3.936
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2019M01	1.541
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M12	3.750
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M11	4.042
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M10	99.562
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M09	211.203
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M08	239.271
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M07	248.515
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M06	213.250
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M05	174.186
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M04	46.722
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M03	9.626
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M02	4.284
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2018M01	1.748
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M12	2.617
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M11	3.935
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M10	113.596
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M09	217.087
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M08	247.940
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M07	269.154
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M06	243.153
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M05	184.242
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M04	48.130
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M03	7.582
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M02	4.503
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2017M01	2.938
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M12	3.439
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M11	3.482
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M10	103.079
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M09	211.435
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M08	269.877
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M07	252.718
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M06	215.717
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M05	170.383
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M04	31.791
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M03	13.983
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M02	4.001
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2016M01	1.624
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M12	3.773
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M11	3.775
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M10	82.335
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M09	186.580
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M08	245.626
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M07	250.217
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M06	198.333
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M05	130.186
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M04	30.024
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M03	4.716
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M02	2.444
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2015M01	2.382
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M12	2.772
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M11	3.866
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M10	78.461
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M09	206.041
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M08	249.634
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M07	261.866
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M06	207.625
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M05	145.790
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M04	27.969
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M03	5.244
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M02	1.840
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2014M01	1.339
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M12	2.325
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M11	3.636
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M10	82.030
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M09	198.658
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M08	274.468
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M07	276.935
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M06	200.247
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M05	152.865
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M04	34.398
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M03	8.483
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M02	2.809
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2013M01	1.311
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M12	2.756
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M11	3.514
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M10	75.921
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M09	205.397
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M08	260.144
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M07	244.330
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M06	197.091
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M05	128.716
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M04	34.791
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M03	5.950
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M02	3.048
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2012M01	1.769
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M12	2.704
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M11	3.705
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M10	82.313
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M09	199.181
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M08	253.092
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M07	250.340
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M06	193.526
National Total	04 Balears, Illes	Guests	Total	Residents abroad	2011M05	139.463
