Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M09	19.555
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M08	74.351
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M07	36.027
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M06	20.030
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M05	15.440
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M04	13.493
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M03	38.596
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M02	12.417
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2013M01	11.554
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M12	36.551
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M11	17.361
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M10	27.129
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M09	17.762
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M08	76.056
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M07	37.075
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M06	17.068
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M05	16.870
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M04	39.083
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M03	18.654
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M02	13.918
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2012M01	17.151
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M12	35.858
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M11	14.667
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M10	28.240
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M09	18.699
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M08	91.978
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M07	42.309
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M06	24.799
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M05	16.626
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M04	34.041
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M03	16.331
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M02	16.655
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2011M01	16.105
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M12	42.527
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M11	10.095
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M10	34.526
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M09	23.613
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M08	88.929
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M07	40.253
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M06	20.360
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M05	15.253
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M04	33.806
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M03	22.008
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M02	12.223
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2010M01	20.258
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M12	39.020
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M11	12.754
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M10	28.661
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M09	22.477
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M08	94.168
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M07	41.997
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M06	17.050
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M05	21.708
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M04	40.790
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M03	20.056
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M02	12.970
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2009M01	16.508
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M12	36.271
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M11	13.136
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M10	21.220
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M09	26.370
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M08	106.855
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M07	60.694
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M06	27.682
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M05	28.316
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M04	17.176
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M03	45.167
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M02	21.122
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2008M01	18.835
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M12	36.464
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M11	19.504
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M10	26.073
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M09	24.036
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M08	87.106
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M07	37.195
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M06	17.280
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M05	14.378
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M04	40.403
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M03	17.143
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M02	14.222
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2007M01	17.780
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M12	39.813
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M11	13.638
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M10	25.407
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M09	23.367
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M08	89.049
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M07	41.367
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M06	13.255
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M05	12.290
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M04	35.724
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M03	13.491
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M02	15.026
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2006M01	14.974
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M12	29.970
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M11	7.276
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M10	21.559
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M09	16.397
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M08	79.518
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M07	38.942
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M06	15.263
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M05	14.181
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M04	11.218
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M03	31.198
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M02	13.237
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2005M01	14.984
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M12	29.144
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M11	10.453
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M10	24.167
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M09	17.633
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M08	82.021
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M07	39.108
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M06	15.975
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M05	9.950
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M04	30.601
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M03	20.178
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M02	17.413
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2004M01	20.285
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M12	30.626
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M11	11.059
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M10	15.116
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M09	21.352
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M08	75.432
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M07	34.337
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M06	12.083
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M05	15.042
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M04	28.181
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M03	12.358
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M02	11.616
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2003M01	15.954
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M12	12.760
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M11	12.760
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M10	16.465
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M09	19.702
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M08	72.295
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M07	36.595
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M06	15.074
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M05	11.230
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M04	11.792
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M03	30.423
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M02	12.583
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2002M01	12.140
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M12	29.420
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M11	14.656
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M10	18.431
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M09	21.838
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M08	80.598
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M07	42.350
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M06	12.925
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M05	9.458
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M04	27.586
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M03	12.188
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M02	10.706
National Total	02 Aragón	Overnight stays	Total	Residents in Spain	2001M01	12.774
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M08	18.147
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M07	16.189
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M06	10.210
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M05	9.170
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M04	6.462
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M03	3.693
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M02	1.727
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2025M01	3.101
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M12	4.002
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M11	6.529
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M10	6.778
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M09	9.124
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M08	20.936
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M07	16.311
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M06	6.703
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M05	9.747
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M04	5.332
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M03	3.294
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M02	2.248
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2024M01	1.429
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M12	1.666
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M11	3.199
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M10	4.782
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M09	6.978
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M08	16.968
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M07	15.664
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M06	5.170
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M05	8.072
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M04	6.301
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M03	3.099
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M02	2.105
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2023M01	1.499
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M12	1.570
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M11	1.466
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M10	5.527
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M09	5.676
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M08	20.185
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M07	12.301
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M06	6.178
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M05	5.580
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M04	4.595
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M03	2.062
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M02	1.920
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2022M01	1.064
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M12	4.189
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M11	3.713
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M10	5.748
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M09	4.770
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M08	11.074
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M07	7.964
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M06	1.700
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M05	1.429
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M04	1.059
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M03	1.240
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M02	430
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2021M01	72
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M12	718
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M11	.
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M10	1.548
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M09	1.746
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M08	7.419
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M07	7.054
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M06	444
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M05	.
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M04	.
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M03	1.155
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M02	2.580
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2020M01	2.138
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M12	3.526
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M11	2.837
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M10	6.069
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M09	7.453
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M08	19.147
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M07	18.399
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M06	10.553
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M05	8.007
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M04	5.421
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M03	3.304
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M02	1.275
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2019M01	1.251
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M12	1.966
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M11	1.254
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M10	4.133
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M09	7.773
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M08	20.141
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M07	18.627
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M06	10.472
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M05	8.500
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M04	5.728
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M03	2.152
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M02	1.869
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2018M01	2.026
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M12	787
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M11	868
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M10	4.545
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M09	6.952
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M08	14.814
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M07	11.587
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M06	5.227
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M05	5.579
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M04	3.922
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M03	1.294
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M02	553
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2017M01	345
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M12	1.251
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M11	1.234
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M10	3.008
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M09	4.874
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M08	15.436
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M07	16.522
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M06	4.428
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M05	4.186
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M04	2.831
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M03	1.338
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M02	926
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2016M01	461
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M12	1.108
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M11	657
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M10	2.982
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M09	4.506
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M08	13.378
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M07	15.174
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M06	5.779
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M05	5.446
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M04	2.979
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M03	798
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M02	531
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2015M01	340
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M12	674
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M11	652
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M10	3.082
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M09	4.060
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M08	17.023
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M07	12.092
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M06	5.317
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M05	4.521
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M04	2.413
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M03	1.174
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M02	1.009
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2014M01	2.588
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M12	1.765
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M11	1.577
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M10	2.041
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M09	3.021
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M08	14.513
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M07	11.539
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M06	5.214
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M05	4.673
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M04	3.507
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M03	2.939
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M02	1.633
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2013M01	622
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M12	327
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M11	128
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M10	1.783
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M09	3.094
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M08	10.590
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M07	9.751
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M06	7.427
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M05	4.182
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M04	2.067
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M03	716
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M02	807
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2012M01	650
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M12	1.187
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M11	2.165
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M10	2.559
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M09	6.812
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M08	9.345
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M07	8.749
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M06	4.868
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M05	4.591
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M04	3.916
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M03	1.178
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M02	976
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2011M01	1.434
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M12	2.036
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M11	3.599
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M10	2.413
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M09	2.302
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M08	10.969
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M07	9.786
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M06	2.118
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M05	2.339
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M04	3.077
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M03	1.719
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M02	1.649
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2010M01	1.964
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M12	1.233
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M11	724
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M10	2.304
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M09	3.297
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M08	9.327
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M07	11.104
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M06	2.575
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M05	2.415
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M04	1.682
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M03	2.115
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M02	1.884
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2009M01	1.986
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M12	2.771
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M11	2.505
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M10	2.874
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M09	5.074
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M08	14.013
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M07	11.166
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M06	4.820
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M05	6.495
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M04	4.195
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M03	3.345
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M02	3.841
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2008M01	2.928
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M12	2.238
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M11	3.836
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M10	4.048
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M09	4.875
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M08	8.760
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M07	6.824
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M06	4.111
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M05	4.809
National Total	02 Aragón	Overnight stays	Total	Residents abroad	2007M04	3.790
