Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M10	1.768.251
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M09	1.791.281
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M08	2.277.238
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M07	2.052.965
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M06	1.659.037
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M05	1.623.356
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M04	1.865.923
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M03	2.014.920
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M02	1.938.525
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2008M01	1.913.765
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M12	1.813.861
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M11	1.862.118
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M10	1.840.784
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M09	1.811.657
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M08	2.373.699
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M07	2.118.699
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M06	1.674.670
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M05	1.459.291
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M04	1.843.155
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M03	1.953.939
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M02	1.743.744
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2007M01	1.852.351
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M12	1.758.211
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M11	1.799.130
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M10	1.887.756
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M09	1.913.723
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M08	2.354.265
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M07	2.043.527
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M06	1.632.793
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M05	1.535.213
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M04	1.793.836
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M03	1.828.298
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M02	1.699.812
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2006M01	1.797.305
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M12	1.597.946
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M11	1.700.141
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M10	1.766.136
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M09	1.684.034
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M08	2.203.581
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M07	1.785.668
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M06	1.415.330
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M05	1.341.375
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M04	1.441.069
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M03	1.674.120
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M02	1.675.928
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2005M01	1.773.925
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M12	1.507.501
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M11	1.626.653
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M10	1.689.450
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M09	1.698.592
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M08	2.138.556
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M07	1.738.967
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M06	1.373.973
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M05	1.303.326
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M04	1.542.176
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M03	1.640.917
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M02	1.640.415
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2004M01	1.625.654
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M12	1.427.205
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M11	1.492.734
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M10	1.623.579
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M09	1.631.969
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M08	2.119.586
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M07	1.729.550
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M06	1.406.880
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M05	1.403.331
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M04	1.563.116
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M03	1.641.678
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M02	1.557.138
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2003M01	1.535.951
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M12	1.425.510
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M11	1.471.055
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M10	1.538.006
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M09	1.574.364
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M08	1.878.350
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M07	1.529.679
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M06	1.178.638
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M05	1.188.220
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M04	1.397.132
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M03	1.673.395
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M02	1.577.019
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2002M01	1.552.687
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M12	1.388.449
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M11	1.546.501
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M10	1.603.808
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M09	1.541.795
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M08	1.824.494
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M07	1.614.373
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M06	1.359.221
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M05	1.395.507
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M04	1.463.372
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M03	1.661.666
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M02	1.494.381
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2001M01	1.412.801
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M12	1.359.362
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M11	1.503.148
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M10	1.527.059
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M09	1.456.362
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M08	1.694.532
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M07	1.470.248
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M06	1.271.745
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M05	1.261.830
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M04	1.410.727
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M03	1.541.402
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M02	1.479.858
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		2000M01	1.334.245
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M12	1.349.293
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M11	1.558.346
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M10	1.674.740
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M09	1.580.226
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M08	1.908.423
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M07	1.640.083
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M06	1.333.693
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M05	1.426.048
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M04	1.537.606
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M03	1.612.049
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M02	1.487.537
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total		1999M01	1.575.079
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M09	386.290
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M08	600.201
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M07	509.984
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M06	389.180
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M05	373.583
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M04	321.344
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M03	248.103
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M02	212.348
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2025M01	241.693
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M12	275.184
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M11	262.361
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M10	313.723
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M09	394.138
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M08	561.459
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M07	469.397
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M06	389.996
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M05	343.254
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M04	274.045
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M03	276.756
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M02	215.190
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2024M01	242.131
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M12	288.625
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M11	240.577
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M10	330.321
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M09	396.181
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M08	557.362
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M07	494.177
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M06	387.011
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M05	344.279
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M04	366.492
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M03	287.091
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M02	249.166
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2023M01	267.621
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M12	310.629
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M11	285.988
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M10	356.369
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M09	432.608
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M08	617.540
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M07	517.359
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M06	414.948
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M05	383.076
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M04	367.209
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M03	277.759
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M02	237.296
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2022M01	206.067
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M12	276.203
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M11	243.079
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M10	338.699
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M09	401.913
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M08	614.926
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M07	422.129
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M06	213.978
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M05	131.694
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M04	89.676
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M03	88.617
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M02	61.814
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2021M01	49.996
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M12	84.262
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M11	67.156
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M10	151.837
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M09	229.741
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M08	324.441
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M07	118.646
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M06	9.202
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M05	698
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M04	0
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M03	88.355
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M02	242.243
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2020M01	269.101
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M12	298.992
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M11	295.636
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M10	334.900
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M09	442.009
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M08	672.763
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M07	515.300
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M06	438.452
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M05	348.400
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M04	347.791
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M03	276.766
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M02	219.417
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2019M01	240.636
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M12	282.201
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M11	238.960
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M10	319.527
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M09	397.999
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M08	598.755
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M07	471.037
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M06	395.829
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M05	329.240
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M04	282.588
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M03	280.004
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M02	220.206
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2018M01	242.013
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M12	284.324
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M11	222.084
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M10	295.463
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M09	358.595
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M08	534.369
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M07	449.356
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M06	369.057
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M05	332.582
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M04	356.250
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M03	217.142
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M02	201.587
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2017M01	217.845
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M12	258.025
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M11	225.346
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M10	280.801
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M09	342.876
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M08	513.835
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M07	459.935
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M06	359.040
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M05	340.412
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M04	270.002
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M03	279.904
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M02	210.257
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2016M01	211.598
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M12	231.324
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M11	191.444
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M10	253.139
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M09	331.051
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M08	549.212
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M07	434.659
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M06	336.542
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M05	314.797
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M04	294.956
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M03	227.268
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M02	216.723
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2015M01	216.429
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M12	276.767
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M11	261.505
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M10	278.206
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M09	324.933
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M08	513.677
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M07	432.094
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M06	343.826
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M05	284.442
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M04	295.155
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M03	253.364
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M02	237.708
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2014M01	221.192
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M12	274.205
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M11	301.754
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M10	275.497
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M09	327.744
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M08	543.473
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M07	426.098
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M06	359.969
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M05	336.242
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M04	280.011
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M03	361.706
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M02	280.993
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2013M01	277.274
