Regional totals	Autonomous Communities and Cities	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2010M04	5.315
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2010M03	2.471
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2010M02	562
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2010M01	460
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M12	882
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M11	996
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M10	2.271
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M09	9.847
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M08	55.151
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M07	39.594
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M06	12.103
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M05	4.981
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M04	6.033
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M03	2.372
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M02	785
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2009M01	685
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M12	708
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M11	875
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M10	2.138
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M09	7.376
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M08	55.330
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M07	31.967
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M06	8.949
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M05	3.134
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M04	3.280
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M03	3.871
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M02	721
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2008M01	541
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M12	779
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M11	1.426
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M10	2.534
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M09	8.099
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M08	66.820
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M07	40.041
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M06	11.650
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M05	2.758
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M04	8.054
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M03	1.489
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M02	404
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2007M01	322
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M12	444
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M11	928
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M10	1.545
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M09	10.513
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M08	75.439
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M07	48.112
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M06	11.340
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M05	4.020
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M04	9.888
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M03	1.059
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M02	750
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2006M01	372
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M12	795
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M11	1.449
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M10	1.857
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M09	11.167
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M08	81.672
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M07	52.586
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M06	12.855
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M05	4.166
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M04	4.547
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M03	6.113
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M02	673
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2005M01	898
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M12	..
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M11	1.503
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M10	2.375
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M09	13.402
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M08	102.217
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M07	48.636
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M06	15.646
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M05	3.765
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M04	7.346
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M03	1.231
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M02	536
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2004M01	626
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M12	442
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M11	1.056
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M10	1.567
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M09	13.617
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M08	126.945
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M07	69.480
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M06	13.510
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M05	6.900
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M04	8.862
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M03	1.131
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M02	394
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2003M01	278
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M12	261
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M11	651
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M10	1.209
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M09	10.089
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M08	63.747
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M07	46.008
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M06	8.499
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M05	2.267
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M04	2.194
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M03	7.144
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M02	192
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2002M01	124
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M12	124
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M11	480
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M10	886
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M09	7.914
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M08	68.908
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M07	40.116
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M06	8.440
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M05	996
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M04	5.623
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M03	301
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M02	132
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2001M01	159
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M12	301
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M11	137
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M10	452
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M09	8.347
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M08	58.706
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M07	43.602
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M06	7.269
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M05	806
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M04	4.616
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M03	337
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M02	207
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	2000M01	133
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M12	259
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M11	450
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M10	976
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M09	8.173
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M08	62.203
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M07	33.991
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M06	4.585
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M05	573
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M04	1.730
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M03	567
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M02	240
National Total	03 Asturias, Principado de	Guests	Total	Residents in Spain	1999M01	173
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M09	14.209
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M08	30.237
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M07	28.149
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M06	13.742
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M05	8.313
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M04	4.134
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M03	872
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M02	231
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2025M01	119
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M11	545
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M10	2.004
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M09	16.489
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M08	33.695
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M07	30.430
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M06	12.422
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M05	7.160
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M04	3.616
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M03	1.326
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M02	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2024M01	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M11	289
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M10	2.410
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M09	18.744
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M08	30.266
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M07	27.331
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M06	14.858
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M05	6.876
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M04	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M03	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M02	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2023M01	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M12	114
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M11	390
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M10	1.562
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M09	12.801
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M08	28.450
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M07	24.730
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M06	11.263
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M05	5.727
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M04	2.808
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M03	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M02	165
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2022M01	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M11	242
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M10	766
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M09	7.858
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M08	14.038
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M07	8.611
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M06	1.699
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M05	373
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M04	33
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M03	16
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M02	49
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2021M01	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M11	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M10	75
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M09	1.264
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M08	6.089
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M07	4.881
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M06	68
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M05	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M04	0
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M03	46
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M02	266
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2020M01	150
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M12	289
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M11	288
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M10	1.523
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M09	8.289
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M08	21.168
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M07	14.819
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M06	6.320
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M05	3.982
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M04	1.589
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M03	528
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M02	73
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2019M01	""
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M11	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M10	1.327
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M09	7.693
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M08	22.892
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M07	14.038
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M06	6.071
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M05	3.324
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M04	1.500
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M03	604
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M02	147
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2018M01	80
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M11	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M10	1.593
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M09	7.024
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M08	19.458
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M07	14.563
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M06	6.953
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M05	3.357
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M04	1.292
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M03	577
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M02	54
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2017M01	178
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M12	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M11	301
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M10	1.862
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M09	6.931
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M08	23.239
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M07	15.920
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M06	4.690
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M05	3.044
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M04	1.266
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M03	487
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M02	100
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2016M01	.
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M12	203
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M11	292
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M10	918
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M09	4.704
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M08	17.525
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M07	14.096
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M06	5.133
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M05	2.864
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M04	1.656
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M03	331
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M02	239
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2015M01	154
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M12	147
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M11	246
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M10	997
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M09	5.427
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M08	18.352
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M07	11.907
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M06	4.209
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M05	3.513
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M04	1.143
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M03	219
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M02	71
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2014M01	117
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M12	214
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M11	154
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M10	759
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M09	5.580
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M08	15.699
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M07	12.042
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M06	3.319
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M05	1.958
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M04	754
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M03	1.130
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M02	62
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2013M01	79
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M12	85
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M11	167
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M10	738
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M09	4.565
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M08	15.839
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M07	12.682
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M06	4.131
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M05	2.071
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M04	1.427
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M03	420
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M02	121
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2012M01	70
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M12	113
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M11	127
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M10	689
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M09	2.927
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M08	13.740
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M07	10.916
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M06	4.261
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M05	1.868
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M04	1.164
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M03	338
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M02	100
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2011M01	74
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M12	111
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M11	97
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M10	627
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M09	3.615
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M08	14.157
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M07	13.243
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M06	4.167
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M05	2.187
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M04	1.258
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M03	355
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M02	5
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2010M01	54
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M12	224
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M11	124
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M10	552
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M09	2.483
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M08	12.769
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M07	9.938
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M06	3.367
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M05	1.846
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M04	758
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M03	222
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M02	170
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2009M01	13
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M12	12
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M11	101
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M10	475
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M09	2.385
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M08	13.360
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M07	10.381
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M06	2.793
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M05	2.058
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M04	622
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M03	200
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M02	88
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2008M01	45
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M12	72
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M11	86
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M10	499
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M09	3.145
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M08	13.936
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M07	11.018
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M06	3.898
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M05	1.955
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M04	634
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M03	136
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M02	10
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2007M01	63
National Total	03 Asturias, Principado de	Guests	Total	Residents abroad	2006M12	139
